1	0	0	0	0.048947	-0.186807	0.210624	0	0.0481736	0.014542	
0	1	0	0	0.0420006	-0.332345	0.180641	0	0.0284476	0.345202	
0	0	1	0.239668	0.186708	-0.163589	0	0	-0.0123409	0.0772426	
0	0	0.239668	1	0.885422	0.0448637	0	0	0.00338824	0.132963	
0.048947	0.0420006	0.186708	0.885422	1	-0.159515	0.222848	0.127396	0.0953668	0.126865	
-0.186807	-0.332345	-0.163589	0.0448637	-0.159515	1	-0.914039	-0.490502	-0.348488	-0.403521	
0.210624	0.180641	0	0	0.222848	-0.914039	1	0.554499	0.397533	0.36704	
0	0	0	0	0.127396	-0.490502	0.554499	1	0.440555	0.454702	
0.0481736	0.0284476	-0.0123409	0.00338824	0.0953668	-0.348488	0.397533	0.440555	1	0.345704	
0.014542	0.345202	0.0772426	0.132963	0.126865	-0.403521	0.36704	0.454702	0.345704	1	

